trade_date,open,high,low,close
20230614,3872.7155,3891.6656,3862.0609,3864.0247
20230615,3871.7746,3925.4994,3871.7746,3925.4994
20230616,3932.2114,3968.0128,3928.5419,3963.3509
20230619,3957.0327,3957.0327,3922.4742,3930.9079
20230620,3926.094,3937.4945,3918.473,3924.2377
20230621,3909.1044,3920.1276,3864.0323,3864.0323
20230626,3833.4436,3841.2862,3801.0537,3809.6962
20230627,3811.6872,3851.8957,3806.3242,3845.4334
20230628,3836.6086,3846.8516,3808.1607,3840.7986
20230629,3836.7305,3840.7132,3817.3759,3821.8435
20230630,3816.3345,3860.0311,3813.552,3842.4516
20230703,3853.2919,3897.3273,3853.2919,3892.8821
20230704,3888.0328,3899.9755,3878.3978,3899.0133
20230705,3895.1945,3899.5188,3864.1301,3868.8054
20230706,3857.0304,3876.8901,3836.4573,3842.7547
20230707,3831.5955,3844.8438,3819.0772,3825.6988
20230710,3841.5591,3865.4566,3831.92,3844.3269
20230711,3853.7955,3870.6549,3844.5244,3869.4861
20230712,3864.6013,3874.0403,3838.5632,3843.4369
20230713,3855.662,3901.1023,3855.662,3898.4229
20230714,3904.6033,3908.4871,3893.7862,3899.1027
20230717,3881.6225,3881.6225,3852.2626,3867.1749
20230718,3871.0444,3871.0444,3844.5129,3854.9393
20230719,3848.4826,3860.0092,3830.4073,3850.8663
20230720,3857.7725,3875.6241,3818.7134,3823.6946
20230721,3816.9835,3849.5109,3808.803,3821.91
20230724,3803.3492,3828.7853,3798.8048,3805.221
20230725,3866.6445,3915.8148,3866.6445,3915.1153
20230726,3908.174,3912.9834,3893.3987,3907.0128
20230727,3914.2298,3935.3578,3894.6923,3902.3458
20230728,3889.7929,4000.919,3886.5535,3992.7376
20230731,4018.8895,4064.3621,4002.0784,4014.6301
20230801,4009.1831,4031.7008,3983.0273,3998.001
20230802,3985.6951,4008.3343,3958.5127,3969.895
20230803,3962.1296,4004.9996,3962.1296,4004.9839
20230804,4033.7239,4058.2431,4011.6202,4020.5792
20230807,4002.9677,4002.9677,3977.0173,3990.1531
20230808,3980.0423,4002.2904,3963.4632,3979.7322
20230809,3967.3566,3982.1091,3961.8434,3967.5652
20230810,3962.8569,3976.4637,3945.3869,3975.7166
20230811,3977.9834,3977.9834,3884.2538,3884.2538
20230814,3840.8872,3859.4718,3814.0711,3855.9061
20230815,3858.3662,3865.284,3811.6839,3846.5357
